Key,English,Japanese
TwitchAction_GachaBoxCommon,Gacha Box Common,ガチャBOX - コモン
TwitchAction_GachaBoxCommonCommand,#supply_gachacommon,#コモン
TwitchAction_GachaBoxCommonDesc,Supply 1x GachaBox Common,ガチャBOX - コモンを支給する
TwitchAction_GachaBoxUncommon,Gacha Box Uncommon,ガチャBOX - アンコモン
TwitchAction_GachaBoxUncommonCommand,#supply_gachauncommon,#アンコモン
TwitchAction_GachaBoxUncommonDesc,Supply 1x GachaBox Uncommon,ガチャBOX - アンコモンを支給する
TwitchAction_GachaBoxRare,Gacha Box Rare,ガチャBOX - レア
TwitchAction_GachaBoxRareCommand,#supply_gacharare,#レア
TwitchAction_GachaBoxRareDesc,Supply 1x GachaBox Rare,ガチャBOX - レアを支給する
TwitchAction_GachaBoxEpic,Gacha Box Epic,ガチャBOX - エピック
TwitchAction_GachaBoxEpicCommand,#supply_gachaepic,#エピック
TwitchAction_GachaBoxEpicDesc,Supply 1x GachaBox Epic,ガチャBOX - エピックを支給する
TwitchAction_GachaBoxLegendary,Gacha Box Legendary,ガチャBOX - レジェンダリー
TwitchAction_GachaBoxLegendaryCommand,#supply_gachalegendary,#レジェンダリー
TwitchAction_GachaBoxLegendaryDesc,Supply 1x GachaBox Legendary,ガチャBOX - レジェンダリーを支給する
TwitchAction_GachaBoxHeroic,Gacha Box Heroic,ガチャBOX - ヒロイック
TwitchAction_GachaBoxHeroicCommand,#supply_gachaheroic,#ヒロイック
TwitchAction_GachaBoxHeroicDesc,Supply 1x GachaBox Heroic,ガチャBOX - ヒロイックを支給する

TwitchAction_GachaBoxT1,Gacha Box Tier1,ガチャBOX - ティア1
TwitchAction_GachaBoxT1Command,#supply_gacha1,#ガチャ1
TwitchAction_GachaBoxT1Desc,Supply 1x GachaBox Tier1,ガチャBOX - ティア1グループからランダムで1箱支給する
TwitchAction_GachaBoxT2,Gacha Box Tier2,ガチャBOX - ティア2
TwitchAction_GachaBoxT2Command,#supply_gacha2,#ガチャ2
TwitchAction_GachaBoxT2Desc,Supply 1x GachaBox Tier2,ガチャBOX - ティア2グループからランダムで1箱支給する
TwitchAction_GachaBoxT3,Gacha Box Tier3,ガチャBOX - ティア3
TwitchAction_GachaBoxT3Command,#supply_gacha3,#ガチャ3
TwitchAction_GachaBoxT3Desc,Supply 1x GachaBox Tier3,ガチャBOX - ティア3グループからランダムで1箱支給する
TwitchAction_GachaBoxT4,Gacha Box Tier4,ガチャBOX - ティア4
TwitchAction_GachaBoxT4Command,#supply_gacha4,#ガチャ4
TwitchAction_GachaBoxT4Desc,Supply 1x GachaBox Tier4,ガチャBOX - ティア4グループからランダムで1箱支給する
TwitchAction_GachaBoxT5,Gacha Box Tier5,ガチャBOX - ティア5
TwitchAction_GachaBoxT5Command,#supply_gacha5,#ガチャ5
TwitchAction_GachaBoxT5Desc,Supply 1x GachaBox Tier5,ガチャBOX - ティア5グループからランダムで1箱支給する
TwitchAction_GachaBoxT6,Gacha Box Tier6,ガチャBOX - ティア6
TwitchAction_GachaBoxT6Command,#supply_gacha6,#ガチャ6
TwitchAction_GachaBoxT6Desc,Supply 1x GachaBox Tier6,ガチャBOX - ティア6グループからランダムで1箱支給する
TwitchAction_GachaBoxAll,Free Gacha Box,ガチャBOX - フリー
TwitchAction_GachaBoxAllCommand,#supply_gachabox,#ガチャボックス
TwitchAction_GachaBoxAllDesc,Supply 1x GachaBox free,1日1回ガチャBOXを1~3種類無償で支給する

zombieScreamerTwitch,Zombie Screamer Twitch,絶叫ゾンビ改
zombieScreamerFeralTwitch,Zombie Screamer Feral Twitch,残忍絶叫ゾンビ改
zombieScreamerRadiatedTwitch,Zombie Screamer Radiated Twitch,汚染絶叫ゾンビ改
DFNightStalkerTwitch,Night  StalkerTwitch,ナイトストーカー改
DFNightStalkerBossTwitch,Night Stalker Boss Twitch,ナイトストーカーボス改
DFzombieTitanTwitch,Titan Twitch,タイタン改
DFzombieTitanRadiatedTwitch,Titan Radiated Twitch,汚染タイタン改
DFzombieBehemothTwitch,Behemoth Twitch,ベヒモス改
DFzombieBehemothRadiatedTwitch,Behemoth Radiated Twitch,汚染ベヒモス改
zombieBehemothFemaleTwitch,Behemoth Female Twitch,ベヒモス改
zombieBehemothRadiatedFemaleTwitch,Behemoth Radiated Female Twitch,汚染ベヒモス改
DemonBehemothTwitch,Demon Behemoth Twitch,デモニックベヒモス改
zombieBusinessWomanDemonTwitch,Business Woman Demon Twitch,デモニックゾンビ改
zombieCheerleaderDemonTwitch,Cheerleader Demon Twitch,デモニックゾンビ改
zombieOldTimerDemonTwitch,OldTimer Demon Twitch,デモニックゾンビ改
zombieWightDemonTwitch,Wight Demon Twitch,デモニックゾンビ改
zombieBoeDemonTwitch,Boe Demon Twitch,デモニックゾンビ改
zombieFemaleFatDemonTwitch,Female Fat Demon Twitch,デモニックゾンビ改
zombieJoeDemonTwitch,Joe Demon Twitch,デモニックゾンビ改
zombieMoeDemonTwitch,Moe Demon Twitch,デモニックゾンビ改
zombieArleneDemonTwitch,Arlene Demon Twitch,デモニックゾンビ改
zombieLabDemonTwitch,Lab Demon Twitch,デモニックゾンビ改
zombieDarleneDemonTwitch,Darlene Demon Twitch,デモニックゾンビ改
zombieMarleneDemonTwitch,Marlene Demon Twitch,デモニックゾンビ改
zombieYoDemonTwitch,Yo Demon Twitch,デモニックゾンビ改
zombieSteveDemonTwitch,Steve Demon Twitch,デモニックゾンビ改
zombieBusinessManDemonTwitch,BusinessMan Demon Twitch,デモニックゾンビ改
zombieSpiderDemonTwitch,Spider Demon Twitch,デモニックゾンビ改
zombieNurseDemonTwitch,Nurse Demon Twitch,デモニックゾンビ改
zombieFatHawaiianDemonTwitch,FatHawaiian Demon Twitch,デモニックゾンビ改
zombieFatCopDemonTwitch,FatCop Demon Twitch,デモニックゾンビ改
zombieMaleHazmatDemonTwitch,Male Hazmat Demon Twitch,デモニックゾンビ改
zombieUtilityWorkerDemonTwitch,UtilityWorker Demon Twitch,デモニックゾンビ改
zombieSoldierDemonTwitch,Soldier Demon Twitch,デモニックゾンビ改
zombieSkateboarderDemonTwitch,Skateboarder Demon Twitch,デモニックゾンビ改
zombieJanitorDemonTwitch,Janitor Demon Twitch,デモニックゾンビ改
zombieBikerDemonTwitch,Biker Demon Twitch,デモニックゾンビ改
zombiePartyGirlDemonTwitch,PartyGirl Demon Twitch,デモニックゾンビ改
SuccubusTwitch,Succubus Twitch,サキュバス改
IncubusTwitch,Incubus Twitch,インキュバス改

cntShippingCrateJunk,Gacha Box - [9C8867]Junk[-],ガチャBOX - [9C8867]ジャンク[-]
cntShippingCrateCommon,Gacha Box - [CF7F29]Common[-],ガチャBOX - [CF7F29]コモン[-]
cntShippingCrateUncommon,Gacha Box - [A2A41B]Uncommon[-],ガチャBOX - [A2A41B]アンコモン[-]
cntShippingCrateRare,Gacha Box - [42C234]Rare[-],ガチャBOX - [42C234]レア[-]
cntShippingCrateEpic,Gacha Box - [315DCE]Epic[-],ガチャBOX - [315DCE]エピック[-]
cntShippingCrateLegendary,Gacha Box - [A42ACC]Legendary[-],ガチャBOX - [A42ACC]レジェンダリー[-]
cntShippingCrateHeroic,Gacha Box - [660066]Heroic[-],ガチャBOX - [660066]ヒロイック[-]
cntLootCrateJunk,Gacha Box - [9C8867]Junk[-],ガチャBOX - [9C8867]ジャンク[-]
cntLootCrateCommon,Gacha Box - [CF7F29]Common[-],ガチャBOX - [CF7F29]コモン[-]
cntLootCrateUncommon,Gacha Box - [A2A41B]Uncommon[-],ガチャBOX - [A2A41B]アンコモン[-]
cntLootCrateRare,Gacha Box - [42C234]Rare[-],ガチャBOX - [42C234]レア[-]
cntLootCrateEpic,Gacha Box - [315DCE]Epic[-],ガチャBOX - [315DCE]エピック[-]
cntLootCrateLegendary,Gacha Box - [A42ACC]Legendary[-],ガチャBOX - [A42ACC]レジェンダリー[-]
cntLootCrateHeroic,Gacha Box - [660066]Heroic[-],ガチャBOX - [660066]ヒロイック[-]
cntShippingCrateJunkDesc,A box containing the specified items at random.\nRarity Rank1/7,指定されたアイテムがランダムに入っているボックスで、主に報酬等で入手できます。\nレア度ランク1/7
cntShippingCrateCommonDesc,A box containing the specified items at random.\nRarity Rank2/7,指定されたアイテムがランダムに入っているボックスで、主に報酬等で入手できます。\nレア度ランク2/7
cntShippingCrateUncommonDesc,A box containing the specified items at random.\nRarity Rank3/7,指定されたアイテムがランダムに入っているボックスで、主に報酬等で入手できます。\nレア度ランク3/7
cntShippingCrateRareDesc,A box containing the specified items at random.\nRarity Rank4/7,指定されたアイテムがランダムに入っているボックスで、主に報酬等で入手できます。\nレア度ランク4/7
cntShippingCrateEpicDesc,A box containing the specified items at random.\nRarity Rank5/7,指定されたアイテムがランダムに入っているボックスで、主に報酬等で入手できます。\nレア度ランク5/7
cntShippingCrateLegendaryDesc,A box containing the specified items at random.\nRarity Rank6/7,指定されたアイテムがランダムに入っているボックスで、主に報酬等で入手できます。\nレア度ランク6/7
cntShippingCrateHeroicDesc,A box containing the specified items at random.\nRarity Rank7/7,指定されたアイテムがランダムに入っているボックスで、主に報酬等で入手できます。\nレア度ランク7/7

DFFemaleSurvivor5Club,Survivor Twitch生存者改
DFFemaleSurvivor5Bat,Survivor Twitch生存者改
DFFemaleSurvivor5BatBarbed,Survivor Twitch生存者改
DFFemaleSurvivor5BatChain,Survivor Twitch生存者改
DFFemaleSurvivor5Knife,Survivor Twitch生存者改
DFFemaleSurvivor5Machete,Survivor Twitch生存者改
DFFemaleSurvivor6Club,Survivor Twitch生存者改
DFFemaleSurvivor6Bat,Survivor Twitch生存者改
DFFemaleSurvivor6BatBarbed,Survivor Twitch生存者改
DFFemaleSurvivor6BatChain,Survivor Twitch生存者改
DFFemaleSurvivor6Knife,Survivor Twitch生存者改
DFFemaleSurvivor6Machete,Survivor Twitch生存者改
DFFemaleSurvivor7Club,Survivor Twitch生存者改
DFFemaleSurvivor7Bat,Survivor Twitch生存者改
DFFemaleSurvivor7BatBarbed,Survivor Twitch生存者改
DFFemaleSurvivor7BatChain,Survivor Twitch生存者改
DFFemaleSurvivor7Knife,Survivor Twitch生存者改
DFFemaleSurvivor7Machete,Survivor Twitch生存者改
DFFemaleSurvivor8Club,Survivor Twitch生存者改
DFFemaleSurvivor8Bat,Survivor Twitch生存者改
DFFemaleSurvivor8BatBarbed,Survivor Twitch生存者改
DFFemaleSurvivor8BatChain,Survivor Twitch生存者改
DFFemaleSurvivor8Knife,Survivor Twitch生存者改
DFFemaleSurvivor8Machete,Survivor Twitch生存者改
DFMaleSurvivor5Club,Survivor Twitch生存者改
DFMaleSurvivor5Bat,Survivor Twitch生存者改
DFMaleSurvivor5BatBarbed,Survivor Twitch生存者改
DFMaleSurvivor5BatChain,Survivor Twitch生存者改
DFMaleSurvivor5Knife,Survivor Twitch生存者改
DFMaleSurvivor5Machete,Survivor Twitch生存者改
DFMaleSurvivor6Club,Survivor Twitch生存者改
DFMaleSurvivor6Bat,Survivor Twitch生存者改
DFMaleSurvivor6BatBarbed,Survivor Twitch生存者改
DFMaleSurvivor6BatChain,Survivor Twitch生存者改
DFMaleSurvivor6Knife,Survivor Twitch生存者改
DFMaleSurvivor6Machete,Survivor Twitch生存者改
DFMaleSurvivor7Club,Survivor Twitch生存者改
DFMaleSurvivor7Bat,Survivor Twitch生存者改
DFMaleSurvivor7BatBarbed,Survivor Twitch生存者改
DFMaleSurvivor7BatChain,Survivor Twitch生存者改
DFMaleSurvivor7Knife,Survivor Twitch生存者改
DFMaleSurvivor7Machete,Survivor Twitch生存者改
DFMaleSurvivor8Club,Survivor Twitch生存者改
DFMaleSurvivor8Bat,Survivor Twitch生存者改
DFMaleSurvivor8BatBarbed,Survivor Twitch生存者改
DFMaleSurvivor8BatChain,Survivor Twitch生存者改
DFMaleSurvivor8Knife,Survivor Twitch生存者改
DFMaleSurvivor8Machete,Survivor Twitch生存者改

TwitchAction_spawnscarecrow,Scarecrow Gr,かかしGr
TwitchAction_spawnscarecrowCommand,#spawn_scarecrow,#かかし
TwitchAction_spawnscarecrowDesc,Spawn scarecrow as your allies. Please remember they will not be attacked or moved. ,おなじみのキャラクターを味方としてスポーンさせます。ただし全く身動きしませんので、スポーンさせるタイミングが重要です。

TurretHank,Hank(Scarecrow),ハンク(かかし)
TurretEmma,Emma(Scarecrow),エマにエル(かかし)
TurretMiguel,Miguel(Scarecrow),ミゲル(かかし)
TurretGabrielle,Gabrielle(Scarecrow),ガブリエル(かかし)
TurretAiden,Aiden(Scarecrow),エイデン(かかし)
TurretGrace,Grace(Scarecrow),グレース(かかし)
TurretJeff,Jeff(Scarecrow),ジェフ(かかし)
TurretCharlotte,Charlotte(Scarecrow),シャーロット(かかし)
TurretWillie,Willie(Scarecrow),ウィリー(かかし)
TurretHelen,Helen(Scarecrow),ヘレン(かかし)
TurretVince,Vince(Scarecrow),ヴィンセント(かかし)
TurretMaria,Maria(Scarecrow),マリア(かかし)
TurretRayah,Rayah(Scarecrow),ラヤ(かかし)
TurretChang,Chang(Scarecrow),チャン(かかし)
TurretJack,Jack(Scarecrow),ジャック(かかし)
TurretClint,Clint(Scarecrow),クリント(かかし)
TurretMadmole,Madmole(Scarecrow),マドモール(かかし)
TurretRichie,Richie(Scarecrow),リッチー(かかし)
TurretRoxy,Roxy(Scarecrow),ロキシー(かかし)

middleTreasureDesc,You could get 1 Skill Point additioal rewards when completed this quest.,より高難易度のトレジャークエストです。報酬はスキルポイント+1です。クエスト終了後に付与される、修了証明は実績解除のため必ず読んで下さい。
advancedTreasureDesc,You could get 1 Skill Point additioal rewards when completed this quest.,さらに高難易度のトレジャークエストです。報酬はスキルポイント+3です。クエスト終了後に付与される、修了証明は実績解除のため必ず読んで下さい。
qt_middle_taylor,Taylor's Treasure Map - [315DCE]Epic[-],テイラーの宝の地図 - [315DCE]エピック[-]
qt_middle_nickole,Nickole's Treasure Map - [315DCE]Epic[-],ニコールの宝の地図 - [315DCE]エピック[-]
qt_middle_stephan,Stephan's Treasure Map - [315DCE]Epic[-],スティーブンの宝の地図 - [315DCE]エピック[-]
qt_middle_jennifer,Jennifer's Treasure Map - [315DCE]Epic[-],ジェニファーの宝の地図 - [315DCE]エピック[-]
qt_middle_claude,Claude's Treasure Map - [315DCE]Epic[-],クロードの宝の地図 - [315DCE]エピック[-]
qt_middle_sarah,Sarah's Treasure Map - [315DCE]Epic[-],サラの宝の地図 - [315DCE]エピック[-]
qt_middle_raphael,Raphael's Treasure Map - [315DCE]Epic[-],ラファエルの宝の地図 - [315DCE]エピック[-]
qt_advanced_taylor,Taylor's Treasure Map - [A42ACC]Legendary[-],テイラーの宝の地図 - [A42ACC]レジェンダリー[-]
qt_advanced_nickole,Nickole's Treasure Map - [A42ACC]Legendary[-],ニコールの宝の地図 - [A42ACC]レジェンダリー[-]
qt_advanced_stephan,Stephan's Treasure Map - [A42ACC]Legendary[-],スティーブンの宝の地図 - [A42ACC]レジェンダリー[-]
qt_advanced_jennifer,Jennifer's Treasure Map - [A42ACC]Legendary[-],ジェニファーの宝の地図 - [A42ACC]レジェンダリー[-]
qt_advanced_claude,Claude's Treasure Map - [A42ACC]Legendary[-],クロードの宝の地図 - [A42ACC]レジェンダリー[-]
qt_advanced_sarah,Sarah's Treasure Map - [A42ACC]Legendary[-],サラの宝の地図 - [A42ACC]レジェンダリー[-]
qt_advanced_raphael,Raphael's Treasure Map - [A42ACC]Legendary[-],ラファエルの宝の地図 - [A42ACC]レジェンダリー[-]

certificationDesc,the proreesion should be unlocked When you read this document.,読了することで、クエスト実績が解除されます。
middle_Quest_Treasure_01_certification,Taylor's Treasure Map - [315DCE]Epic[-] Certificate of Completion,テイラーの宝の地図 - [315DCE]エピック[-] 修了証明
middle_Quest_Treasure_02_certification,Nickole's Treasure Map - [315DCE]Epic[-] Certificate of Completion,ニコールの宝の地図 - [315DCE]エピック[-] 修了証明
middle_Quest_Treasure_03_certification,Stephan's Treasure Map - [315DCE]Epic[-] Certificate of Completion,スティーブンの宝の地図 - [315DCE]エピック[-] 修了証明
middle_Quest_Treasure_04_certification,Jennifer's Treasure Map - [315DCE]Epic[-] Certificate of Completion,ジェニファーの宝の地図 - [315DCE]エピック[-] 修了証明
middle_Quest_Treasure_05_certification,Claude's Treasure Map - [315DCE]Epic[-] Certificate of Completion,クロードの宝の地図 - [315DCE]エピック[-] 修了証明
middle_Quest_Treasure_06_certification,Sarah's Treasure Map - [315DCE]Epic[-] Certificate of Completion,サラの宝の地図 - [315DCE]エピック[-] 修了証明
middle_Quest_Treasure_07_certification,Raphael's Treasure Map - [315DCE]Epic[-] Certificate of Completion,ラファエルの宝の地図 - [315DCE]エピック[-] 修了証明
advanced_Quest_Treasure_01_certification,Taylor's Treasure Map - [A42ACC]Legendary[-] Certificate of Completion,テイラーの宝の地図 - [A42ACC]レジェンダリー[-] 修了証明
advanced_Quest_Treasure_02_certification,Nickole's Treasure Map - [A42ACC]Legendary[-] Certificate of Completion,ニコールの宝の地図 - [A42ACC]レジェンダリー[-] 修了証明
advanced_Quest_Treasure_03_certification,Stephan's Treasure Map - [A42ACC]Legendary[-] Certificate of Completion,スティーブンの宝の地図 - [A42ACC]レジェンダリー[-] 修了証明
advanced_Quest_Treasure_04_certification,Jennifer's Treasure Map - [A42ACC]Legendary[-] Certificate of Completion,ジェニファーの宝の地図 - [A42ACC]レジェンダリー[-] 修了証明
advanced_Quest_Treasure_05_certification,Claude's Treasure Map - [A42ACC]Legendary[-] Certificate of Completion,クロードの宝の地図 - [A42ACC]レジェンダリー[-] 修了証明
advanced_Quest_Treasure_06_certification,Sarah's Treasure Map - [A42ACC]Legendary[-] Certificate of Completion,サラの宝の地図 - [A42ACC]レジェンダリー[-] 修了証明
advanced_Quest_Treasure_07_certification,Raphael's Treasure Map - [A42ACC]Legendary[-] Certificate of Completion,ラファエルの宝の地図 - [A42ACC]レジェンダリー[-] 修了証明

cntBuriedLootStashChest_middle,blocks,Treasure Cache - [315DCE]Epic[-],宝物の貯蔵庫 - [315DCE]エピック[-]
cntBuriedLootStashChest_middleInsecure,blocks,Treasure Cache - [315DCE]Epic[-],宝物の貯蔵庫 - [315DCE]エピック[-]
cntBuriedLootStashChest_advanced,blocks,Treasure Cache - [A42ACC]Legendary[-],宝物の貯蔵庫 - [A42ACC]レジェンダリー[-]
cntBuriedLootStashChest_advancedInsecure,blocks,Treasure Cache - [A42ACC]Legendary[-],宝物の貯蔵庫 - [A42ACC]レジェンダリー[-]

MiddleQuestTreasureName,progression,トレジャークエスト(中級)
MiddleQuestTreasureDesc,progression,トレジャークエスト(中級)
MiddleQuestTreasureLongDesc,progression,トレジャークエスト(中級)
AdvancedQuestTreasureName,progression,トレジャークエスト(上級)
AdvancedQuestTreasureDesc,progression,トレジャークエスト(上級)
AdvancedQuestTreasureLongDesc,progression,トレジャークエスト(上級)

middle_Quest_Treasure_01,progression,Taylor's Treasure Map,トレジャークエスト・テイラー
middle_Quest_Treasure_02,progression,Nickole's Treasure Map,トレジャークエスト・ニコール
middle_Quest_Treasure_03,progression,Stephan's Treasure Map,トレジャークエスト・スティーブン
middle_Quest_Treasure_04,progression,Jennifer's Treasure Map,トレジャークエスト・ジェニファー
middle_Quest_Treasure_05,progression,Claude's Treasure Map,トレジャークエスト・クロード
middle_Quest_Treasure_06,progression,Sarah's Treasure Map,トレジャークエスト・サラ
middle_Quest_Treasure_07,progression,Raphael's Treasure Map,トレジャークエスト・ラファエル
middle_Quest_Treasure_01Desc,progression,Taylor's Treasure Map,トレジャークエスト・テイラー
middle_Quest_Treasure_02Desc,progression,Nickole's Treasure Map,トレジャークエスト・ニコール
middle_Quest_Treasure_03Desc,progression,Stephan's Treasure Map,トレジャークエスト・スティーブン
middle_Quest_Treasure_04Desc,progression,Jennifer's Treasure Map,トレジャークエスト・ジェニファー
middle_Quest_Treasure_05Desc,progression,Claude's Treasure Map,トレジャークエスト・クロード
middle_Quest_Treasure_06Desc,progression,Sarah's Treasure Map,トレジャークエスト・サラ
middle_Quest_Treasure_07Desc,progression,Raphael's Treasure Map,トレジャークエスト・ラファエル
middle_Quest_TreasureComplete,progression,Complete Middle Treasure Quest,トレジャークエスト修了(中級)
middle_Quest_TreasureCompleteDesc,progression,Complete Middle Treasure Quest,トレジャークエスト修了(中級)
middle_Quest_TreasureCompleteLongDesc,progression,Complete Middle Treasure Quest,トレジャークエスト修了(中級)

advanced_Quest_Treasure_01,progression,Taylor's Treasure Map,トレジャークエスト・テイラー
advanced_Quest_Treasure_02,progression,Nickole's Treasure Map,トレジャークエスト・ニコール
advanced_Quest_Treasure_03,progression,Stephan's Treasure Map,トレジャークエスト・スティーブン
advanced_Quest_Treasure_04,progression,Jennifer's Treasure Map,トレジャークエスト・ジェニファー
advanced_Quest_Treasure_05,progression,Claude's Treasure Map,トレジャークエスト・クロード
advanced_Quest_Treasure_06,progression,Sarah's Treasure Map,トレジャークエスト・サラ
